the_geom,OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.434289211898 37.722410938747),25610,Persia Ave&Paris St E-NS/SB,PERSPAR1,PERSPARS,5918,37.722405999999999,-122.434276,0,LISBON ST,PERSIA AVE,NS,E,,0,10/29/2017 05:39:39 PM +0000,656408,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.481391222821 37.76161293834),25900,23rd Ave&Judah St NW-NS/PS,23AVJUD0,23AVJUDA,3442,37.761607999999995,-122.48137800000001,0,JUDAH ST,23RD AVE,NS,NW,,0,10/29/2017 05:39:39 PM +0000,657139,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.471045222088 37.765817939965),24497,Lincoln Way&Funston Ave NW-FS/BZ,LWAYFUN0,LWAYFUNS,5326,37.765813000000001,-122.47103199999999,0,FUNSTON AVE,LINCOLN WY,FS,NW,BZ,0,10/29/2017 05:39:39 PM +0000,654846,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.504814224863 37.745427935428),23205,46th Ave&Rivera St SE-NS/SB,46AVRVR1,46AVRVRA,3595,37.745422999999995,-122.504801,0,RIVERA ST,46TH AVE,NS,SE,,0,10/29/2017 05:39:39 PM +0000,652142,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.407231210675 37.752830943041),25676,Hampshire St&24th St SE-NS/SB,HAMP24S1,HAMP24ST,4964,37.752825999999999,-122.407218,0,24TH ST,HAMPSHIRE ST,NS,SE,,0,10/29/2017 05:39:39 PM +0000,656515,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.424233210671 37.724744939962),23039,Avalon Ave&La Grande Ave SW-NS,AVLNLAG1,AVLNLAGR,3680,37.724739999999997,-122.42421999999999,0,LA GRANDE AVE,AVALON AVE,NS,SW,FL,1,10/29/2017 05:39:39 PM +0000,652285,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.446978221267 37.78726994352),25468,California St&Presidio Ave NW-FS/BZ,CALIPRE0,CALIPRES,3892,37.787264999999998,-122.44696500000001,0,PRESIDIO AVE,CALIFORNIA ST,FS,NW,BZ,1,10/29/2017 05:39:39 PM +0000,656566,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.504941224299 37.747292935374),23203,46th Ave&Quintara St SE-NS/PS,46AVQUI1,46AVQUIN,3593,37.747287999999998,-122.50492800000001,0,QUINTARA ST,46TH AVE,NS,SE,,0,10/29/2017 05:39:39 PM +0000,652139,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.392818210454 37.766726945046),26280,16th Street & Owen St NW/FS-BZ,16STOWE1,,7865,37.766722000000001,-122.392805,,OWENS ST,16TH ST,,,,,10/29/2017 05:39:39 PM +0000,657777,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.410094216961 37.800415946694),25680,Union St&Columbus Ave  NE-NS/BZ,UNINCOL0,UNINCOLM,6750,37.800410999999997,-122.41008099999999,0,STOCKTON ST,UNION ST,MB,S,BZ,0,10/29/2017 05:39:39 PM +0000,656526,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.475543219496 37.739014937441),25009,19th Ave&Vicente St SW-FS/BZ,19AVVCT0,19AVVCTE,3399,37.73901,-122.47552999999999,0,VICENTE ST,19TH AVE,FS,SW,BZ,1,10/29/2017 05:39:39 PM +0000,655346,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.39431320586 37.725674941937),22885,3rd St&Carroll Ave N-NS/BZ,.3STCAR0,3STCARR,3115,37.725670000000001,-122.3943,0,CARROLL AVE,03RD ST,NS,N,BZ,0,10/29/2017 05:39:39 PM +0000,651619,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
